LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID5660,5660,16,17.82442856,26.77877761,21.50905832,0,35,7,0.65,1,,368.6356589,345,175,1082,47554,157.7751039,0.221271636,0.846646933
ID5693,5693,16,47.02800751,28.06932111,21.29396774,0,10,2,0.65,1,,643.7286822,552,192,2468,83041,423.5497822,0.405333508,0.876721181
ID5823,5823,16,25.0136013,26.56368703,21.8316942,0,65,13,0.65,1,,399.1627907,331,146,1053,51492,216.597798,0.296317726,0.842504406
ID5648,5648,17,28.70516586,30.11268165,23.98260003,0,20,4,0.65,1,,384.2713178,327,136,830,49571,181.7136635,0.397775963,1.203597701
ID5697,5697,17,28.46256256,30.22022695,24.19769062,0,10,2,0.65,1,,391.3953488,324,174,822,50490,177.7918559,0.386373119,1.227045218
ID5588,5588,17,31.10629272,30.22022695,24.09014532,0,5,1,0.65,1,,410.6899225,344,193,1033,52979,204.6477079,0.413913238,1.174961708
ID5716,5716,17,33.96121979,30.22022695,23.98260003,0,25,5,0.65,1,,412.124031,314,168,1174,53164,246.3986229,0.42906847,1.004368823
ID5608,5608,17,24.95419312,30.11268165,24.09014532,0,15,3,0.65,1,,369.6666667,315,171,683,47687,146.361407,0.370690746,1.366110958
ID5628,5628,17,24.71778488,30.54286282,24.73541707,0,0,0,0.65,1,,387.6666667,345,196,769,50009,136.2153243,0.347765785,1.468706144
ID5677,5677,17,25.00324249,30.11268165,24.09014532,0,30,6,0.65,1,,363.2170543,316,159,785,46855,154.5099087,0.365186825,1.257659002
