LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID11918,11918,12,29.94791985,15.70161258,15.59406729,0,15,3,0.65,1,,561.496124,555,232,973,72433,156.5383901,0.30902105,1.693547292
ID11727,11727,12,67.01586914,16.6695202,16.23933904,0,35,7,0.65,1,,908.875969,729,361,2319,117245,485.7279171,0.378497505,1.027539647
ID12112,12112,12,49.58910751,16.6695202,15.27143141,0,75,15,0.65,1,,834.7829457,804,187,1739,107687,331.2698334,0.309765648,1.191959042
ID12434,12434,12,66.16378784,16.23933904,13.44316145,0,140,28,0.65,1,,689.9612403,315,163,3851,89005,800.3394436,0.338598844,0.436129531
ID12372,12372,12,78.07681274,16.23933904,13.76579733,0,120,24,0.65,1,,770.7751938,340,168,5106,99430,976.0947719,0.487752036,0.517766891
ID12694,12694,12,29.22240448,15.27143141,13.98088791,0,180,36,0.65,1,,617.6744186,606,223,1140,79680,247.31275,0.175963966,0.74743397
ID11863,11863,12,54.48786926,16.02424845,16.02424845,0,25,5,0.65,1,,833.8837209,848,290,1618,107571,318.2121106,0.427319917,1.569099908
ID12634,12634,12,72.06581116,15.80915787,13.33561616,0,170,34,0.65,1,,809.6434109,484,170,4446,104444,839.397187,0.38022858,0.531434829
ID11995,11995,12,70.70479584,16.99215608,16.02424845,0,55,11,0.65,1,,842.5968992,632,209,2858,108695,596.1528029,0.392880019,0.797330717
ID12187,12187,12,55.93790817,16.88461078,15.27143141,0,80,16,0.65,1,,852.0077519,760,296,2374,109909,444.3597658,0.311578314,0.910986222
ID12316,12316,12,93.35708618,16.99215608,15.3789767,0,115,23,0.65,1,,1267.852713,1169,318,2826,163553,643.1408417,0.492147901,1.300398546
ID11808,11808,12,48.64390564,15.91670316,15.91670316,0,20,4,0.65,1,,771.1085271,735,342,1414,99473,273.5774353,0.388340863,1.576820335
ID12258,12258,12,88.56394196,17.20724666,14.73370495,0,95,19,0.65,1,,1008.51938,791,219,3285,130099,640.9120711,0.499840096,1.048822328
ID12068,12068,12,39.82771683,16.34688433,16.02424845,0,65,13,0.65,1,,689.5891473,576,297,1945,88957,360.1196115,0.259106058,0.788113732
ID12581,12581,12,96.43186188,15.70161258,13.87334262,0,160,32,0.65,1,,1044.728682,754,245,4577,134770,873.6107968,0.531522842,0.83006858
ID12519,12519,12,97.73968506,15.70161258,14.0884332,0,155,31,0.65,1,,1026.496124,692,230,4033,132418,869.5672696,0.563485856,0.850889545
ID11755,11755,12,35.29673386,15.80915787,15.70161258,0,10,2,0.65,1,,605.4031008,577,259,1173,78097,215.5829495,0.334645838,1.408249543
ID11947,11947,12,73.21026611,16.56197491,16.23933904,0,40,8,0.65,1,,879.4031008,626,239,2818,113443,601.7378026,0.40221607,0.83840753
ID12139,12139,12,50.29509735,17.09970137,15.05634083,0,85,17,0.65,1,,784.7906977,699,228,1907,101238,414.1439151,0.334218501,0.949371273
ID12467,12467,12,84.97094727,16.02424845,13.55070674,0,130,26,0.65,1,,752.7829457,338,161,5037,97109,995.2907,0.559091718,0.542451876
ID12403,12403,12,72.5710907,16.23933904,13.44316145,0,135,27,0.65,1,,735.7131783,365,137,4649,94907,878.6414868,0.39825184,0.476978954
ID12212,12212,12,92.135849,17.52988253,15.27143141,0,105,21,0.65,1,,972.2868217,673,228,3832,125425,806.6238977,0.508177492,0.812299678
ID12660,12660,12,73.38396454,15.80915787,13.12052558,0,175,35,0.65,1,,826.5736434,433,182,5929,106628,1052.570936,0.389933477,0.440612367
